year,cattle,sheep
1971,15989000,58912000
1972,17264000,60883000
1973,17848000,56684000
1974,18622000,55883000
1975,18584000,55320000
1976,18034000,56400000
1977,17477000,59105000
1978,16836022,61278223
1979,16044810,63791096
1980,16262428,68771772
1981,16070936,69883765
1982,15824606,70301461
1983,15260964,70262574
1984,15552178,69738672
1985,15842300,67853622
1986,16558244,67469515
1987,15997916,64243862
1988,16115796,64600077
1989,15656866,60568653
1990,16067951,57852192
1991,8099996,55161643
1992,16288642,52568393
1993,16616204,50298361
1994,17774064,49466054
1995,18544650,48816271
1996,18034554,47393907
1997,,
1998,,
1999,17920228,45679891
2000,,
2001,,
2002,9652870,39571837
2003,9728220,39552113
2004,9599892,39271137
2005,9510802,39879668
2006,9608693,40081594
2007,9654467,38460477
2008,9715312,34087864
2009,9961494,32383589
2010,9863972,32562612
2011,10020917,31132329
2012,10180093,31262715
2013,10182122,30786761
2014,10368188,29803402
2015,10032763,29120827
2016,10151854,27583673
2017,10145902,27526537
2018,10106803,27295749
2019,10150891,26821846
2020,10082788,26028935
2021,10150246,25732889
2022,9751189,25132697
2023,9538661,24359267
2024,9516288,23583001
